Year,prominent_pollutants,aqi_value
2015,CO,83.42525773195877
2015,NO2,106.25
2015,O3,120.5204081632653
2015,PM10,158.5897435897436
2015,PM2.5,176.2782217782218
2015,SO2,114.0
2016,CO,81.48834498834499
2016,NO2,83.56980056980056
2016,O3,120.32378580323785
2016,PM10,134.1691767068273
2016,PM2.5,192.0633658868953
2016,SO2,87.08333333333333
2017,CO,66.68213228035538
2017,NO2,90.65527950310559
2017,O3,125.00217627856365
2017,PM10,126.62558795860771
2017,PM2.5,191.6100545725153
2017,SO2,59.42424242424242
2018,CO,67.31856133590237
2018,NH3,28.0
2018,NO2,78.3503355704698
2018,O3,116.68226286686516
2018,PM10,122.15668389581433
2018,PM2.5,194.10086264100863
2018,SO2,74.5068493150685
2019,CO,65.14685816876123
2019,NH3,68.18181818181819
2019,NO2,82.0347394540943
2019,O3,104.89179515418502
2019,PM10,113.07348999563672
2019,PM2.5,183.02589093073433
2019,SO2,67.53183520599251
2019,SO3,43.0
2020,CO,65.8259719650886
2020,NH3,34.0
2020,NO2,58.12720848056537
2020,O3,82.16791491911324
2020,PM10,96.09252561784207
2020,PM2.5,167.20222517668464
2020,SO2,46.293010752688176
2020,SO3,39.77777777777778
2021,CO,58.335627868168544
2021,NH3,50.8235294117647
2021,NO2,68.00737463126843
2021,O3,83.3819404418828
2021,PM10,104.44025724481394
2021,PM2.5,174.59200453643322
2021,SO2,44.957589285714285
2021,SO3,47.78947368421053
2022,CO,60.74346176881613
2022,NH3,41.21052631578947
2022,NO2,73.39091981132076
2022,O3,89.46888888888888
2022,PM10,106.28420290311408
2022,PM2.5,171.84314191921595
2022,SO2,53.354269583627385
2022,SO3,52.07692307692308
2023,CO,66.112460887171
2023,NH3,55.1875
2023,NO2,86.80428832116789
2023,O3,90.48908703752994
2023,PM10,97.30959992478022
2023,PM2.5,167.1695415067663
2023,SO2,58.136929460580916
2024,CO,62.409804193861966
2024,NH3,57.61538461538461
2024,NO2,69.05452562704471
2024,O3,91.63175369755508
2024,PM10,90.5110437418796
2024,PM2.5,147.84804054973466
2024,SO2,55.787586944890315
2024,SO3,35.2
2025,CO,68.63236814891417
2025,NH3,67.0
2025,NO2,86.5928659286593
2025,O3,106.34754304913902
2025,PM10,94.56954909699796
2025,PM2.5,130.04788131829085
2025,SO2,64.12121212121212
2025,SO3,57.857142857142854
